epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,0.7083173615810199,0.6518941982301016,0.7621503004544898,0.5793968293086994,0.7314007383049944
1,0.0001,0.5329217704442831,0.8254648548578791,0.5355030177514765,0.8199864472514282,0.9004072374626142
2,0.0001,0.48912712855216783,0.8502586155835885,0.5314288094073911,0.7925203787268624,0.8832640839815025
3,0.0001,0.4585656023178345,0.8663986212692655,0.5071851003773605,0.819800568641977,0.899983804653098
4,0.0001,0.43418768010078335,0.8730175057067563,0.4956778944293155,0.805991574164767,0.8903225627111377
5,0.0001,0.4074734854392516,0.8861873652219133,0.42620843573461603,0.8530697662630964,0.920208560983403
6,0.0001,0.3908591537903517,0.8825603644897796,0.3826687143573278,0.8627170519896611,0.9257680954880126
7,0.0001,0.3692224021905508,0.8918375446453146,0.3984616368631773,0.8396998294073201,0.9119550647866506
8,0.0001,0.35058663632625187,0.8948259332209781,0.352086231678347,0.8947182610986741,0.9441285052128453
9,0.0001,0.3311239408376889,0.9018531037111587,0.3367551516128492,0.8860000562466558,0.9392887854958141
10,0.0001,0.316667177547247,0.9040501865466206,0.3369252745863758,0.8643402526895237,0.9266236287929223
11,0.0001,0.30018103905977345,0.9049313694560669,0.31777378350873536,0.8860564141721022,0.9388786846755635
12,0.0001,0.28915973236927617,0.9050326198518425,0.28040519224691995,0.9081376022057407,0.9517137764627561
13,0.0001,0.27039268440925157,0.9155163791022068,0.25803466235535055,0.9093146862660285,0.9523402852384855
14,0.0001,0.25014666983714473,0.9241988400153892,0.24541607876367208,0.9342604213043708,0.9659445173632406
15,0.0001,0.24469615786503524,0.919643531581842,0.26549811491483377,0.8933914173837536,0.9433354450786564
16,0.0001,0.2439496731146788,0.9103218776732629,0.21764787654333476,0.9277897602601559,0.9624744520943758
17,0.0001,0.2176615914855248,0.9280250317051588,0.22477383440053916,0.9191563694143043,0.9576550420088967
18,0.0001,0.21793923756250969,0.9213493612302736,0.208569170553473,0.9304157697363924,0.9637741930962557
19,0.0001,0.20060294159711936,0.9288021693177254,0.19367333831666392,0.9243836573020652,0.9602876609230561
20,0.0001,0.1973418306845885,0.9252669756924993,0.19332337077659897,0.9219484693548061,0.959090369112672
21,0.0001,0.18537935633689928,0.9280715266648062,0.17856656146954886,0.932769983238821,0.9647277956351292
22,0.0001,0.18121594276565772,0.9286843833256884,0.21189848720272886,0.9164933127510037,0.9562974606757996
23,0.0001,0.1700349020270201,0.9329144626621837,0.16950981564159634,0.9397896696255938,0.9688477529549764
24,0.0001,0.1576690075871272,0.9384962375149002,0.1744767103014113,0.911641416486116,0.952908039241028
25,0.0001,0.16501115787869844,0.9247749487807732,0.1493650627664373,0.9420862645487718,0.9700767179999077
26,0.0001,0.14582637515969765,0.9413871323280077,0.1635196605060674,0.9261494824184981,0.9610226709323194
27,0.0001,0.14265847922517702,0.9396474486345111,0.1330607467437092,0.9465773116884484,0.9724340884025491
28,0.0001,0.13914269142043897,0.9370533798016664,0.12628627455309976,0.9477737910960483,0.9731171023466334
29,0.0001,0.13445286051585123,0.9386767438749024,0.14147049188613892,0.9309334528048974,0.9641127892193038
30,0.0001,0.1391390493282905,0.9316241489001874,0.12109601903188077,0.9429453036571722,0.9705722199556912
31,0.0001,0.12502652836533693,0.9425188857802765,0.19792347920091846,0.8894158240662521,0.9410961180103745
32,0.0001,0.11742290758933777,0.9444846197889842,0.11028059562550316,0.9458510945931292,0.971895225813466
33,0.0001,0.11889874763213672,0.9404727480604484,0.11284920195989971,0.945104206324578,0.9717232563528696
